G99,104,matériaux polymères artificiels,seringues / aiguilles
G96,99,matériaux polymères artificiels,serviettes hygiéniques / protège slip
G28,17,matériaux polymères artificiels,stylos et bouchons de stylos
G102,44,matériaux polymères artificiels,tongs
G124,48,matériaux polymères artificiels,autres objets (identifiables) en plastique ou polystyrène
G174,76,métal,aerosols / sprays industriels
G176,82,métal,barquettes métalliques (alimentaires)
G189,90,métal,"bouteilles de gaz, bidons et seaux (> 4 litres)"
G194,89,métal,câbles métalliques
G175,78,métal,canettes (boissons)
G188,89,métal,autres récipients métalliques (< 4 litres)
G178,77,métal,"capsules de bouteilles, couvercles et tirettes"
G186,83,métal,déchets industriels métalliques
G180,79,métal,"électroménager (réfrigérateurs, machines à laver, etc.)"
G191,88,métal,"fil de fer, grillage, fil de fer barbelé"
G187,84,métal,futs métalliques (ex. pétrole)
G177,81,métal,papier d'alu et feuilles d'emballage en aluminium
G179,120,métal,pièces de barbecue
G193,90,métal,pièces de voiture / batteries
G195,89,métal,piles domestiques
G190,86,métal,pots de peinture métalliques
G182,80,métal,"produits liés à la pêche (poids, plombs, leurres, hameçons)"
G181,89,métal,"vaisselle (assiettes, tasses et couverts)"
G198,89,métal,autres morceaux de métal < 50cm
G199,90,métal,autres morceaux de métal > 50cm
G150,118,papier / carton,briques de lait de type Tetrapack®
G151,62,papier / carton,autres briques de type Tetrapack®
G148,61,papier / carton,cartons et morceaux de carton
G154,66,papier / carton,journaux et magazines
G152,63,papier / carton,paquets de cigarette
G155,67,papier / carton,pétards et tubes de feux d'artifices
G147,60,papier / carton,sacs en papier
G153,65,papier / carton,vaisselle et emballages alimentaires en carton
G156,66,papier / carton,morceaux de papier
G158,67,papier / carton,autres objets en papier
G213,109,verre / céramique,paraffine / cire
G202,92,verre / céramique,ampoules électriques
G205,92,verre / céramique,"ampoules fluorescentes (tubes néons, …)"
G201,91,verre / céramique,bocaux en verre (incl. morceaux)
G200,91,verre / céramique,bouteilles en verre (incl. morceaux)
G206,93,verre / céramique,flotteurs de filets de pêche en verre
G204,94,verre / céramique,"matériau de construction (briques, ciment, conduites)"
G203,96,verre / céramique,vaisselle en verre ou en céramique
G208,96,verre / céramique,"morceaux de verre ou de céramique > 2,5 cm"
G210,96,verre / céramique,autres objets en verre ou céramique
G138,57,vêtements / textile,"chaussures et sandales (par ex. en cuir, en tissu)"
G142,59,vêtements / textile,"cordes, ficelles et filets (en textile)"
G139,59,vêtements / textile,sacs à dos et sacs en textile
G144,100,vêtements / textile,tampons et applicateurs de tampon
G141,55,vêtements / textile,tapis et tissus d'ameublement
G140,56,vêtements / textile,toiles (toile de jute)
G137,54,vêtements / textile,"vêtements, chapeaux, serviettes (déchirés ou non)"
G143,56,vêtements / textile,"voiles, bâches en textile"
G145,59,vêtements / textile,"autres textiles, chiffons et morceaux de textiles"
