G46,29,matériaux polymères artificiels,plateaux d'huîtres (tout ce qui concerne la cultures des huitres),shannon
G90,48,matériaux polymères artificiels,pots de fleurs en plastique,shannon
G37,24,matériaux polymères artificiels,sacs de légumes en maille,shannon
G36,23,matériaux polymères artificiels,sacs d'engrais / sacs d'aliments pour animaux,shannon
G101,121,matériaux polymères artificiels,sacs d'excréments de chien,shannon
G3,2,matériaux polymères artificiels,"sacs en plastique (sacs de courses, incl. morceaux de sacs)",shannon
G4,3,matériaux polymères artificiels,"sachets en plastique (ex. sacs congelation, incl. morceaux)",shannon
G65,38,matériaux polymères artificiels,seaux en plastique,shannon
G99,104,matériaux polymères artificiels,seringues / aiguilles,shannon
G96,99,matériaux polymères artificiels,serviettes hygiéniques / protège slip,shannon
G28,17,matériaux polymères artificiels,stylos et bouchons de stylos,shannon
G102,44,matériaux polymères artificiels,tongs,shannon
G124,48,matériaux polymères artificiels,autres objets (identifiables) en plastique ou polystyrène,shannon
G174,76,métal,aerosols / sprays industriels,shannon
G176,82,métal,barquettes métalliques (alimentaires),shannon
G189,90,métal,"bouteilles de gaz, bidons et seaux (> 4 litres)",shannon
G194,89,métal,câbles métalliques,shannon
G175,78,métal,canettes (boissons),shannon
G188,89,métal,autres récipients métalliques (< 4 litres),shannon
G178,77,métal,"capsules de bouteilles, couvercles et tirettes",shannon
G186,83,métal,déchets industriels métalliques,shannon
G180,79,métal,"électroménager (réfrigérateurs, machines à laver, etc.)",shannon
G191,88,métal,"fil de fer, grillage, fil de fer barbelé",shannon
G187,84,métal,futs métalliques (ex. pétrole),shannon
G177,81,métal,papier d'alu et feuilles d'emballage en aluminium,shannon
G179,120,métal,pièces de barbecue,shannon
G193,90,métal,pièces de voiture / batteries,shannon
G195,89,métal,piles domestiques,shannon
G190,86,métal,pots de peinture métalliques,shannon
G182,80,métal,"produits liés à la pêche (poids, plombs, leurres, hameçons)",shannon
G181,89,métal,"vaisselle (assiettes, tasses et couverts)",shannon
G198,89,métal,autres morceaux de métal < 50cm,shannon
G199,90,métal,autres morceaux de métal > 50cm,shannon
G150,118,papier / carton,briques de lait de type Tetrapack®,shannon
G151,62,papier / carton,autres briques de type Tetrapack®,shannon
G148,61,papier / carton,cartons et morceaux de carton,shannon
G154,66,papier / carton,journaux et magazines,shannon
G152,63,papier / carton,paquets de cigarette,shannon
G155,67,papier / carton,pétards et tubes de feux d'artifices,shannon
G147,60,papier / carton,sacs en papier,shannon
G153,65,papier / carton,vaisselle et emballages alimentaires en carton,shannon
G156,66,papier / carton,morceaux de papier,shannon
G158,67,papier / carton,autres objets en papier,shannon
G213,109,verre / céramique,paraffine / cire,shannon
G202,92,verre / céramique,ampoules électriques,shannon
G205,92,verre / céramique,"ampoules fluorescentes (tubes néons, …)",shannon
G201,91,verre / céramique,bocaux en verre (incl. morceaux),shannon
G200,91,verre / céramique,bouteilles en verre (incl. morceaux),shannon
G206,93,verre / céramique,flotteurs de filets de pêche en verre,shannon
G204,94,verre / céramique,"matériau de construction (briques, ciment, conduites)",shannon
G203,96,verre / céramique,vaisselle en verre ou en céramique,shannon
G208,96,verre / céramique,"morceaux de verre ou de céramique > 2,5 cm",shannon
G210,96,verre / céramique,autres objets en verre ou céramique,shannon
G138,57,vêtements / textile,"chaussures et sandales (par ex. en cuir, en tissu)",shannon
G142,59,vêtements / textile,"cordes, ficelles et filets (en textile)",shannon
G139,59,vêtements / textile,sacs à dos et sacs en textile,shannon
G144,100,vêtements / textile,tampons et applicateurs de tampon,shannon
G141,55,vêtements / textile,tapis et tissus d'ameublement,shannon
G140,56,vêtements / textile,toiles (toile de jute),shannon
G137,54,vêtements / textile,"vêtements, chapeaux, serviettes (déchirés ou non)",shannon
G143,56,vêtements / textile,"voiles, bâches en textile",shannon
G145,59,vêtements / textile,"autres textiles, chiffons et morceaux de textiles",shannon
